Node Number, Pressure [ Pa ], Temperature [ K ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], X [ m ], Y [ m ], Z [ m ]
1535, 1.68171895e+00, 2.93241302e+02, 3.04973841e-01, 2.78239965e-01, -3.97758931e-02, 1.18361473e-01, 1.97998190e+00, 1.50000000e+00, 2.38554049e+00
1536, 1.68309915e+00, 2.93240662e+02, 3.04006398e-01, 2.77424455e-01, -4.03523818e-02, 1.17589340e-01, 2.01700687e+00, 1.50000000e+00, 2.40510178e+00
1537, 1.68431163e+00, 2.93244263e+02, 2.52583027e-01, 2.28378296e-01, -4.43153977e-02, 9.83752012e-02, 2.01876163e+00, 1.50000000e+00, 2.46659827e+00
1538, 1.67469692e+00, 2.93261780e+02, 1.74529701e-01, 1.63429990e-01, -3.52002345e-02, 5.01218289e-02, 1.69184101e+00, 1.50000000e+00, 2.40418053e+00
1539, 1.67603016e+00, 2.93262451e+02, 1.32069051e-01, 1.15192622e-01, -5.19275069e-02, 3.84243280e-02, 1.68314660e+00, 1.50000000e+00, 2.51836920e+00
1540, 1.68441653e+00, 2.93233154e+02, 3.48279446e-01, 3.17479223e-01, -4.57828790e-02, 1.35681376e-01, 2.07357001e+00, 1.50000000e+00, 2.38663244e+00
1541, 1.68585086e+00, 2.93240967e+02, 2.83981562e-01, 2.57108808e-01, -4.17845622e-02, 1.13113403e-01, 2.07453871e+00, 1.50000000e+00, 2.45050406e+00
1542, 1.67376661e+00, 2.93266418e+02, 9.88899395e-02, 5.98992445e-02, -7.61488527e-02, 1.98154412e-02, 1.48446167e+00, 1.50000000e+00, 2.61327243e+00
1543, 1.67501009e+00, 2.93264832e+02, 1.00972988e-01, 6.52996302e-02, -7.38030896e-02, 2.20137648e-02, 1.53962517e+00, 1.50000000e+00, 2.62105036e+00
1544, 1.67507648e+00, 2.93264801e+02, 1.00436330e-01, 6.39371276e-02, -7.42867514e-02, 2.19312049e-02, 1.54077256e+00, 1.50000000e+00, 2.62433696e+00
1545, 1.66925788e+00, 2.93271759e+02, 9.58546773e-02, 5.00148460e-02, -8.05779546e-02, 1.39222201e-02, 1.29831171e+00, 1.50000000e+00, 2.56721234e+00
1546, 1.67506421e+00, 2.93264771e+02, 1.00779779e-01, 6.47749528e-02, -7.40125775e-02, 2.19751690e-02, 1.54234421e+00, 1.50000000e+00, 2.62260342e+00
1547, 1.67220199e+00, 2.93265808e+02, 1.32700443e-01, 1.18059233e-01, -5.15582785e-02, 3.18302959e-02, 1.55048943e+00, 1.50000000e+00, 2.47825456e+00
1548, 1.68319178e+00, 2.93260925e+02, 8.37790370e-02, 3.41380611e-02, -7.33471811e-02, 2.17649005e-02, 1.72996140e+00, 1.50000000e+00, 2.69047904e+00
1549, 1.67511582e+00, 2.93264801e+02, 1.00028835e-01, 6.34275898e-02, -7.41942376e-02, 2.18614507e-02, 1.54220414e+00, 1.50000000e+00, 2.62505817e+00
1550, 1.67802358e+00, 2.93273315e+02, 9.83629301e-02, -8.96640942e-02, -3.91993448e-02, 9.95124318e-03, 1.56204557e+00, 1.50000000e+00, 2.78544164e+00
1551, 1.68415296e+00, 2.93260010e+02, 9.14864093e-02, 4.27948721e-02, -7.76724070e-02, 2.24801823e-02, 1.76959872e+00, 1.50000000e+00, 2.68586016e+00
1552, 1.68222809e+00, 2.93259857e+02, 1.01286158e-01, 6.93146735e-02, -6.93102032e-02, 2.55040657e-02, 1.76176655e+00, 1.50000000e+00, 2.62935781e+00
1553, 1.68527567e+00, 2.93258301e+02, 9.93060023e-02, 5.69667630e-02, -7.90057033e-02, 1.93538051e-02, 1.82447529e+00, 1.50000000e+00, 2.67043376e+00
1554, 1.68542480e+00, 2.93254883e+02, 1.24855593e-01, 9.63957161e-02, -7.11158365e-02, 3.52040231e-02, 1.89593649e+00, 1.50000000e+00, 2.62305641e+00
1555, 1.68988538e+00, 2.93256409e+02, 9.89036039e-02, 5.32468893e-02, -8.18722546e-02, 1.56084932e-02, 1.94459939e+00, 1.50000000e+00, 2.69752955e+00
1556, 1.68796170e+00, 2.93251984e+02, 1.45217046e-01, 1.21089563e-01, -6.53781071e-02, 4.63789813e-02, 1.98873103e+00, 1.50000000e+00, 2.60984731e+00
1557, 1.69168150e+00, 2.93255432e+02, 9.99531224e-02, 5.55373281e-02, -8.09450224e-02, 1.88184679e-02, 1.99307036e+00, 1.50000000e+00, 2.69966531e+00
1558, 1.68944597e+00, 2.93250366e+02, 1.56903163e-01, 1.33571744e-01, -6.19776323e-02, 5.41845448e-02, 2.04324865e+00, 1.50000000e+00, 2.59874773e+00
1559, 1.69701970e+00, 2.93254395e+02, 1.01383656e-01, 5.89493141e-02, -7.76071250e-02, 2.79420540e-02, 2.09427977e+00, 1.50000000e+00, 2.71038818e+00
1560, 1.67514169e+00, 2.93264679e+02, 1.00880951e-01, 6.49422109e-02, -7.39814639e-02, 2.20503733e-02, 1.54555643e+00, 1.50000000e+00, 2.62256074e+00
1561, 1.68706536e+00, 2.93250671e+02, 1.75663516e-01, 1.55697465e-01, -5.27408496e-02, 6.19223118e-02, 2.01145124e+00, 1.50000000e+00, 2.55327654e+00
1562, 1.68910074e+00, 2.93249512e+02, 1.73506811e-01, 1.52166516e-01, -5.56927547e-02, 6.20345324e-02, 2.05298376e+00, 1.50000000e+00, 2.57240677e+00
1563, 1.68859112e+00, 2.93247498e+02, 2.04674304e-01, 1.83232695e-01, -5.03307581e-02, 7.60537088e-02, 2.06592917e+00, 1.50000000e+00, 2.53820324e+00
1564, 1.67505741e+00, 2.93264832e+02, 9.96732637e-02, 6.29487485e-02, -7.40996376e-02, 2.19421815e-02, 1.53927696e+00, 1.50000000e+00, 2.62540460e+00
1565, 1.67701650e+00, 2.93274323e+02, 1.10587277e-01, -1.03896439e-01, -3.62270065e-02, 1.10760964e-02, 1.50733685e+00, 1.50000000e+00, 2.79741645e+00
1566, 1.67742908e+00, 2.93273743e+02, 9.74442065e-02, -8.86844546e-02, -3.89598981e-02, 1.06098168e-02, 1.53551221e+00, 1.50000000e+00, 2.78079605e+00
1567, 1.67479932e+00, 2.93276794e+02, 1.32506818e-01, -1.27063245e-01, -3.68712991e-02, 7.31404871e-03, 1.38251805e+00, 1.50000000e+00, 2.78145528e+00
1568, 1.66953564e+00, 2.93272675e+02, 8.63596275e-02, 3.21232975e-02, -7.93319941e-02, 1.15114450e-02, 1.29111052e+00, 1.50000000e+00, 2.58838463e+00
1569, 1.66917634e+00, 2.93272095e+02, 9.52477381e-02, 4.54334095e-02, -8.26856792e-02, 1.30772851e-02, 1.28768456e+00, 1.50000000e+00, 2.57486057e+00
1570, 1.66910970e+00, 2.93272308e+02, 9.51350182e-02, 4.43722941e-02, -8.32735896e-02, 1.21359043e-02, 1.28171802e+00, 1.50000000e+00, 2.57395315e+00
1571, 1.66902018e+00, 2.93272095e+02, 9.55765247e-02, 4.83623929e-02, -8.14339817e-02, 1.28240930e-02, 1.28373718e+00, 1.50000000e+00, 2.56595373e+00
1572, 1.66869533e+00, 2.93273865e+02, 9.42517072e-02, 4.95668314e-02, -7.98320770e-02, 7.30433036e-03, 1.24028039e+00, 1.50000000e+00, 2.54898691e+00
1573, 1.66645181e+00, 2.93282318e+02, 9.89467651e-02, 7.53865764e-02, -6.23217635e-02, -1.49440402e-02, 1.01781011e+00, 1.50000000e+00, 2.42161465e+00
1574, 1.67018759e+00, 2.93292816e+02, 9.18681473e-02, -7.96173885e-02, -2.13949829e-02, -4.05349471e-02, 7.75328457e-01, 1.50000000e+00, 2.56534863e+00
1575, 1.67131317e+00, 2.93294312e+02, 8.34579691e-02, -6.48966581e-02, -2.36365460e-02, -4.68505099e-02, 7.17583716e-01, 1.50000000e+00, 2.53821564e+00
1576, 1.66658187e+00, 2.93282471e+02, 6.55609742e-02, 3.70710157e-02, -5.17586917e-02, -1.56530738e-02, 9.95308876e-01, 1.50000000e+00, 2.46129298e+00
1577, 1.66716695e+00, 2.93284607e+02, 1.68383017e-01, -1.66779846e-01, -1.23393685e-02, -1.96230710e-02, 9.97559488e-01, 1.50000000e+00, 2.70876694e+00
